"AIRCRAFT","CALLSIGN","DESTINATIONAIRPORT","ICAO24","ID","LASTOBSERVATION","ORIGINAIRPORT","ORIGINCOUNTRY","SPOTTEDDATE","SPOTTEDPL","UUID"
"reg: VQ-BBH, hex: 424407, airline: Silk Way West, model: B747-83QF","AZG4862 ","","424407","12","2022-05-03 17:49:56.634","","United Kingdom","2022-05-03 17:49:56.634","false",""
"reg: N573UP, hex: A75B5E, airline: UPS, model: B747-44AFSCD","UPS279  ","","a75b5e","14","2022-05-03 18:03:52.406","","United States","2022-05-03 18:03:52.406","false",""
"reg: N570UP, hex: A75039, airline: UPS, model: B747-44AFSCD","UPS11   ","","a75039","17","2022-05-03 18:14:05.998","","United States","2022-05-03 18:14:05.998","false",""
"reg: N715CK, hex: A98EDC, airline: ALS, model: B744","CMB314  ","","a98edc","19","2022-05-03 19:57:48.546","","United States","2022-05-03 19:57:48.546","false",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","25","2022-05-03 21:56:02.849","","United States","2022-05-03 21:56:02.849","false",""
"reg: ER-BAJ, hex: 504E4D, airline: Aerotranscargo, model: B747-412BDSF","ATG4405 ","","504e4d","29","2022-05-03 22:07:48.475","","Republic of Moldova","2022-05-03 22:07:48.475","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","30","2022-05-03 22:12:27.632","","United States","2022-05-03 22:12:27.632","true",""
"reg: ER-BAJ, hex: 504E4D, airline: Aerotranscargo, model: B747-412BDSF","ATG4405 ","","504e4d","31","2022-05-03 22:12:27.632","","Republic of Moldova","2022-05-03 22:12:27.632","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","32","2022-05-03 22:14:12.203","","United States","2022-05-03 22:14:12.203","true",""
"reg: ER-BAJ, hex: 504E4D, airline: Aerotranscargo, model: B747-412BDSF","ATG4405 ","","504e4d","33","2022-05-03 22:14:12.203","","Republic of Moldova","2022-05-03 22:14:12.203","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","34","2022-05-03 22:15:49.013","","United States","2022-05-03 22:15:49.013","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","ATG4405 ","","504e4d","35","2022-05-03 22:15:49.013","","Republic of Moldova","2022-05-03 22:15:49.013","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","36","2022-05-03 22:17:19.422","","United States","2022-05-03 22:17:19.422","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","37","2022-05-03 22:18:02.127","","United States","2022-05-03 22:18:02.127","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","38","2022-05-03 22:23:16.164","","United States","2022-05-03 22:23:16.164","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","39","2022-05-03 22:24:27.055","","United States","2022-05-03 22:24:27.055","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","40","2022-05-03 22:29:44.239","","United States","2022-05-03 22:29:44.239","true",""
"reg: N486MC, hex: A5FFF9, airline: Atlas Air, model: B744","CMB326  ","","a5fff9","41","2022-05-03 22:35:00.898","","United States","2022-05-03 22:35:00.898","true",""
